Date,Open,High,Low,Close,Volume
2010-06-10,120.0,123.5,119.2,123.21,6061755
2010-08-03,120.0,122.87,119.68,122.42,5962926
2010-05-05,128.0,131.61,127.55,130.93,9462155
2010-03-31,136.0,136.8,134.48,135.77,4602196
2012-10-11,248.0,249.3,241.89,244.22,3447983
2014-04-28,304.0,304.39,288.0,296.58,14479803
2014-06-11,336.0,340.72,333.88,335.2,4439178
2015-02-27,384.0,385.99,379.79,380.16,2532309
2016-11-29,768.0,769.89,761.32,762.52,3272344
2016-05-23,704.25,706.0,696.42,696.75,2579171
2010-01-04,136.25,136.61,133.14,133.9,7600543
2012-09-12,256.5,257.78,253.5,255.63,2274715
2014-09-29,320.5,323.75,319.0,321.82,1929589
2015-11-12,673.0,675.64,664.22,665.6,4246218
2017-01-30,833.0,833.5,816.38,830.38,3747336
2017-05-16,961.0,970.06,960.91,966.07,3126051
2017-07-11,993.0,995.99,983.72,994.13,2982726
2015-10-06,545.5,551.5,533.33,537.48,4502815
2016-02-24,545.75,554.27,533.15,554.04,6207285
2015-12-14,641.75,658.58,635.27,657.91,4329653
2015-12-01,673.75,681.0,667.86,679.06,4739462
2010-09-14,144.5,146.7,143.83,145.75,4323591
2012-02-09,184.5,185.69,181.76,184.98,7189994
2012-03-21,192.5,194.28,191.26,191.73,4215499
2012-12-11,248.5,253.48,246.65,250.69,4185953
2014-12-26,305.0,310.78,303.81,309.09,2893801
2014-08-26,337.0,344.36,334.55,341.83,3654702
2014-02-25,353.0,361.08,351.58,358.32,3747076
2014-01-23,401.0,406.17,397.79,399.87,3026272
2016-12-09,770.0,770.25,765.34,768.66,2470923
2016-12-21,770.0,771.22,765.7,770.6,2044629
2016-10-12,834.0,837.67,830.1,834.09,2380416
2017-02-15,834.0,842.81,832.82,842.7,2968853
2015-09-03,514.5,515.84,502.57,504.72,3098941
2012-04-10,192.75,193.52,186.57,186.98,4455491
2011-09-12,208.75,216.66,208.65,216.56,5343529
2014-07-07,337.5,337.55,332.52,333.55,2130028
2013-12-16,385.5,391.7,385.0,388.97,2258884
2015-07-16,465.5,475.88,464.8,475.48,4095581
2015-11-25,675.0,679.7,671.24,675.34,2697889
2017-05-26,995.0,998.65,989.25,995.78,3469154
2014-06-03,305.75,307.92,305.07,307.19,2379273
2015-10-15,547.75,563.0,547.0,562.44,4914627
2010-12-22,185.0,185.45,184.11,184.76,2580840
2012-01-24,185.0,188.41,183.82,187.0,4681086
2011-05-03,201.0,202.59,196.69,198.45,6053289
2011-08-01,225.0,227.45,217.66,221.32,5792926
2012-05-16,225.0,228.0,222.5,224.06,5261956
2012-07-09,225.0,226.0,223.45,225.05,1921979
2013-03-05,274.0,276.68,269.99,275.59,3688583
2013-11-22,370.0,374.5,366.31,372.31,2967833
2016-05-25,708.0,710.86,705.52,708.35,3267686
2016-10-03,836.0,839.86,831.25,836.74,2769448
2017-05-22,964.0,971.38,962.9,970.67,2642217
2017-06-16,996.0,999.75,982.0,987.71,11472662
2016-01-14,580.25,602.25,569.88,593.0,7203038
2010-08-18,129.25,130.81,128.26,129.65,7902371
2012-07-27,225.25,238.34,224.5,237.32,11315524
2015-04-02,370.5,373.28,369.0,372.25,1875279
2017-02-14,837.0,838.31,831.45,836.39,2792442
2013-03-27,258.75,265.93,257.9,265.3,2874924
2015-08-28,517.5,521.5,513.04,518.01,2733815
2016-03-02,581.75,585.0,573.7,580.21,4576922
2011-01-14,185.5,188.94,184.92,188.75,3664965
2012-09-10,259.0,260.0,256.82,257.09,2567521
2013-01-25,275.0,284.72,274.4,283.99,4974945
2013-03-08,275.0,275.44,271.5,274.19,1880117
2013-06-14,275.0,277.07,273.44,273.99,2147223
2013-07-09,291.0,292.57,288.01,291.53,2775516
2014-03-21,371.0,372.84,358.4,360.62,5417935
2015-02-09,371.0,374.41,367.2,370.56,2724630
2014-01-21,403.0,407.8,401.6,407.05,3122705
2015-12-09,678.0,679.0,655.68,664.79,5158172
2016-10-05,838.0,845.67,836.12,844.36,3469055
2017-06-20,998.0,1004.88,992.02,992.59,4076828
2014-07-22,355.25,362.93,355.25,360.84,2889366
2014-10-06,323.5,324.13,319.6,322.2,2294194
2017-01-27,839.0,839.7,829.44,835.77,2998700
2017-06-12,967.0,975.95,945.0,964.91,9447233
2010-07-28,117.0,118.2,116.4,117.13,5472256
2010-05-06,130.0,132.33,120.6,128.71,10195596
2012-01-31,194.0,195.63,189.7,194.44,12772139
2011-11-15,218.0,220.33,214.26,217.83,5739106
2013-06-11,276.0,278.41,274.24,274.78,3094367
2014-10-14,308.0,312.24,305.75,308.31,3385809
2014-11-20,324.0,332.67,323.33,330.54,3436721
2014-08-28,340.0,341.79,338.8,340.02,2254725
2015-12-17,680.0,682.5,670.65,670.65,3681645
2016-07-20,744.0,746.25,740.7,745.72,2214023
2016-09-20,776.0,781.37,776.0,780.22,1937164
2017-05-31,1000.0,1000.12,982.16,994.62,3913115
2016-12-28,776.25,780.0,770.5,772.13,3301025
2014-07-28,324.25,324.82,316.5,320.41,5933999
2012-07-10,226.25,227.14,218.28,219.5,2983109
2015-12-02,681.0,684.82,674.25,676.01,4259104
2016-12-05,745.0,761.49,742.0,759.36,4314723
2016-02-03,553.5,556.0,521.9,531.07,10037222
2016-06-20,713.5,721.31,710.81,714.01,3677162
2017-01-18,809.5,811.73,804.27,807.48,2354201
2011-01-06,186.5,187.41,185.25,185.86,3179610
2011-06-27,194.5,202.58,194.03,201.25,6101849
2012-05-15,226.5,230.61,223.0,224.39,5716858
2012-11-14,226.5,227.41,222.51,222.95,3034284
2014-06-06,325.0,330.88,324.93,329.67,5246723
2015-06-22,437.0,439.24,434.18,436.29,1823572
2015-07-02,437.0,438.2,433.48,437.71,1343397
2016-02-29,554.0,564.81,552.51,552.52,4013368
2017-01-19,810.0,813.51,807.32,809.04,2540784
2017-02-17,842.0,847.27,840.73,845.07,3112275
2016-12-14,778.25,780.86,762.81,768.82,5454836
2012-09-17,261.25,261.25,257.0,258.0,2306215
2013-07-22,309.25,309.25,302.0,303.48,2522023
2014-05-28,309.5,313.82,307.42,310.16,2726803
2016-05-27,715.0,716.6,711.1,712.24,2246353
2015-09-15,523.25,527.92,517.2,522.37,2845635
2016-10-10,843.25,845.2,840.27,841.71,1827143
2016-06-23,715.5,722.12,712.5,722.08,2824974
2016-07-21,747.5,749.36,742.79,744.43,2317072
2015-08-12,523.75,527.5,513.06,525.91,4014684
2016-06-29,715.75,719.5,713.54,715.6,3070052
2010-11-11,171.0,172.05,169.42,170.37,5697867
2011-12-14,179.0,180.75,170.25,180.21,11616875
2012-03-05,179.0,181.82,178.18,180.26,4684257
2013-02-05,262.0,268.03,261.46,266.89,4013780
2015-01-15,294.0,296.0,286.82,286.95,4419196
2015-09-09,524.0,529.95,515.06,516.89,4338714
2014-01-27,390.5,394.1,380.49,386.28,3944752
2016-02-04,525.0,538.99,519.22,536.26,6176558
2015-11-10,653.0,660.0,647.26,659.68,3464933
2017-03-31,877.0,890.35,876.65,886.54,3957612
2014-11-12,310.75,312.58,308.79,311.51,2182982
2013-07-01,279.0,283.29,277.16,282.1,2890065
2013-12-17,391.0,391.36,386.5,387.65,2348377
2015-04-24,439.0,452.65,439.0,445.1,17176904
2016-01-06,622.0,639.79,620.31,632.65,5329197
2016-07-11,750.0,755.9,747.0,753.78,3195272
2016-10-28,782.0,789.49,774.61,776.32,10841073
2014-11-19,327.25,328.4,324.02,326.54,3281614
2010-11-02,163.75,165.94,163.36,164.61,4264710
2012-12-31,243.75,252.41,242.75,250.87,3419354
2013-10-08,311.5,311.54,300.27,303.23,3171592
2014-12-02,327.5,327.93,323.25,326.31,2790257
2015-11-06,655.0,662.26,652.0,659.37,4082524
2016-09-21,783.25,790.69,779.01,789.74,2718644
2015-07-27,527.75,544.95,526.6,531.41,7490960
2010-02-10,118.0,118.61,116.0,117.36,6236250
2010-06-08,122.0,122.0,115.8,118.84,11517726
2010-04-12,140.0,142.92,139.68,141.2,5446461
2012-07-26,220.0,221.45,214.95,220.01,6937337
2012-10-10,252.0,252.46,244.01,244.99,3950008
2014-11-13,312.0,317.89,311.51,316.48,3686428
2014-12-10,312.0,313.19,304.68,305.84,3245890
2014-06-18,328.0,335.75,325.0,334.38,6409334
2014-01-22,408.0,408.06,402.0,404.54,2069759
2017-03-08,848.0,853.07,846.79,850.5,2288317
2017-05-24,976.0,981.0,970.23,980.35,2463052
2015-08-14,528.25,534.11,528.25,531.52,1994799
2017-06-26,1008.5,1009.8,992.0,993.98,3386157
2017-05-04,944.75,945.0,934.22,937.53,2418381
2011-02-23,180.25,181.15,174.39,176.68,5487837
2013-04-23,264.5,269.87,264.5,268.9,2274694
2013-05-14,264.5,269.4,264.03,268.33,2700674
2016-03-23,561.0,572.48,558.1,569.63,3966131
2016-01-12,625.25,625.99,612.24,617.89,4724100
2010-06-03,126.25,129.15,124.85,128.76,5277304
2010-12-07,180.5,181.47,176.57,176.77,5079928
2016-06-15,722.0,722.56,713.35,714.26,2709447
2016-09-28,818.0,830.14,817.03,828.72,4422078
2017-05-03,946.0,946.0,935.9,941.03,3582686
2016-11-25,786.5,786.75,777.9,780.37,1837068
2010-09-10,140.75,142.6,140.04,142.44,5044666
2015-01-07,297.5,301.28,295.33,298.42,2640349
2017-03-09,851.0,856.4,850.31,853.0,2048187
2017-06-29,979.0,987.56,965.25,975.93,4302968
2017-03-28,851.75,858.46,850.1,856.0,3041633
2010-10-18,165.0,165.19,161.82,163.56,6338544
2011-04-15,181.0,181.78,179.02,180.01,4272899
2011-05-24,197.0,197.0,193.0,193.27,2972667
2011-10-13,237.0,239.68,235.23,236.15,4841536
2012-07-30,237.0,240.74,234.07,236.09,3736365
2012-12-06,253.0,255.17,251.51,253.37,3557822
2013-05-31,266.0,271.91,265.94,269.2,3374919
2013-07-03,282.0,285.4,282.0,284.03,1380205
2014-04-11,314.0,316.5,309.5,311.73,7292028
2014-02-05,346.0,349.37,337.73,346.45,4439010
2015-05-18,426.0,427.27,421.46,425.24,2390229
2015-09-29,506.0,511.48,490.5,496.07,4443224
2016-08-25,756.0,760.56,754.74,759.22,1622992
2017-06-06,1012.0,1016.5,1001.25,1003.0,3346432
2017-06-09,1012.5,1012.99,927.0,978.31,7647692
2011-02-14,189.25,191.4,188.35,190.42,4070689
2011-06-10,189.25,190.77,186.28,186.53,3763319
2016-06-24,693.0,712.53,692.2,698.96,7632511
2015-04-29,426.75,434.24,426.03,429.37,3621688
2016-08-22,757.5,759.85,752.1,759.48,1679251
2016-10-17,821.5,822.0,811.68,812.95,3361492
2011-03-11,165.5,169.2,164.12,168.07,4607082
2011-02-03,173.5,174.67,171.95,173.71,3681259
2011-06-23,189.5,194.46,188.3,194.16,4615173
2011-11-10,213.5,214.06,208.1,210.79,5044864
2013-06-04,267.0,268.88,263.02,265.7,2088972
2013-01-30,283.0,284.2,267.11,272.76,13081805
2013-07-25,299.0,304.5,296.75,303.4,5484465
2016-04-20,630.0,636.55,623.0,632.99,2601549
2016-05-10,694.0,704.55,693.5,703.07,6087032
2017-01-24,822.0,823.99,814.5,822.44,2971740
2016-06-06,726.5,731.5,724.42,726.73,2704806
2016-03-14,567.0,576.89,563.05,573.37,3451873
2016-04-04,599.0,599.5,590.55,593.19,2466710
2016-04-21,631.0,637.82,628.5,631.0,2550919
2015-11-11,663.25,675.96,663.25,673.25,5373772
2013-06-06,267.75,270.5,264.21,267.83,2476368
2017-04-17,887.5,902.38,887.5,901.99,2854673
2017-01-31,823.75,826.99,819.56,823.48,3137196
2011-02-04,174.0,177.19,173.75,175.93,4352491
2011-12-19,182.0,183.17,179.0,179.33,4535016
2012-07-25,222.0,222.5,215.91,217.05,3648127
2012-11-20,230.0,233.82,229.5,233.78,2772653
2013-01-14,268.0,274.26,267.54,272.73,4274746
2014-11-10,300.0,305.8,300.0,305.11,2809056
2015-01-22,300.0,312.25,300.0,310.32,5362640
2014-04-22,332.0,337.5,328.94,329.32,3714288
2015-05-15,428.0,430.4,424.3,426.0,4240306
2015-05-21,428.0,436.9,428.0,431.63,4121401
2015-07-28,536.0,536.39,523.12,526.03,5273092
2017-04-03,888.0,893.49,885.42,891.51,3422328
2014-04-25,316.25,316.49,302.71,303.83,16186737
2011-05-04,198.25,201.86,195.37,199.97,6551399
2016-11-18,761.0,767.74,757.64,760.16,4373408
2017-03-10,857.0,857.35,851.72,852.46,2436434
2017-07-10,985.0,999.44,983.5,996.47,3546268
2017-06-19,1017.0,1017.0,989.9,995.17,5043408
2017-05-10,953.5,953.75,945.0,948.95,2096512
2013-05-20,269.0,271.79,266.5,267.63,2209034
2013-07-05,285.0,286.38,282.07,285.88,1985923
2016-02-02,570.0,571.56,550.09,552.1,6281425
2015-12-04,666.0,674.78,661.4,672.64,4534796
2016-04-29,666.0,669.98,654.0,659.59,10291785
2016-11-15,730.0,746.78,725.99,743.24,6755785
2016-09-15,762.0,770.87,757.58,769.69,3043534
2016-11-30,762.0,768.09,750.25,750.57,4625946
2015-12-23,666.5,666.6,656.63,663.7,2722922
2017-05-12,954.5,962.79,951.53,961.35,3625857
2013-04-24,269.5,271.47,266.81,268.78,1855081
2016-03-15,571.0,581.52,567.0,577.02,3876821
2016-08-24,763.0,763.41,755.36,757.25,1744107
2017-04-04,891.5,908.54,890.28,906.83,4984656
2011-01-21,183.0,183.25,176.84,177.42,6812240
2014-08-15,334.0,335.0,328.32,333.63,3897928
2015-02-05,366.0,378.8,365.9,373.89,7247605
2015-10-20,572.0,573.0,555.28,560.88,4327920
2016-06-28,700.0,708.0,698.17,707.95,4036957
2016-08-18,764.0,765.17,760.6,764.46,1458834
2016-11-09,764.0,777.5,760.09,771.88,8562892
2015-12-21,668.5,669.9,658.93,664.51,3250900
2016-07-19,732.5,743.33,732.31,739.95,2216820
2014-05-14,302.5,304.64,296.66,297.62,3328414
2016-07-29,765.0,766.0,755.0,758.81,6777050
2016-12-16,765.0,765.13,754.0,757.77,4848219
2016-10-13,829.0,831.8,821.21,829.28,3091387
2015-05-08,430.75,435.2,430.17,433.69,2908838
2010-12-03,175.5,176.4,174.05,175.68,4909659
2011-01-25,175.5,176.75,174.28,176.7,4653276
2013-03-12,271.0,277.4,270.36,274.13,3246856
2013-12-02,399.0,399.0,389.1,392.3,4718883
2015-10-01,511.0,520.8,506.0,520.72,3741058
2016-11-21,766.0,780.35,765.11,780.0,4614574
2017-01-09,798.0,801.77,791.77,796.92,3446109
2015-06-12,431.25,432.36,428.26,429.92,2054385
2013-01-17,271.5,271.97,269.21,270.48,1884883
2013-06-13,271.5,276.8,270.29,275.79,2651715
2013-11-27,383.5,387.0,382.61,386.71,2269656
2013-12-04,383.5,389.69,381.49,385.96,2355719
2013-12-10,383.5,389.06,383.02,387.78,2739875
2016-11-01,799.0,800.84,776.71,785.41,5305428
2015-11-23,671.5,682.77,670.12,678.99,4367129
2010-09-13,144.07,145.74,143.76,145.07,5083219
2012-08-31,248.07,249.45,245.5,248.27,3347458
2012-09-28,256.14,257.0,253.2,254.32,2456710
2013-05-03,256.14,259.25,254.7,258.05,3514674
2013-07-19,304.39,305.79,301.91,305.23,2973181
2013-10-03,320.39,322.92,313.02,314.76,2679440
2014-02-19,352.64,354.54,346.1,347.38,4175393
2017-07-05,961.53,975.0,955.25,971.4,3652955
2015-01-21,289.64,306.0,287.26,297.25,10065076
2017-01-26,835.53,843.84,833.0,839.15,3586323
2014-03-20,370.64,373.0,366.22,368.97,2558460
2016-09-16,773.28,780.46,771.66,778.52,5499182
2011-05-25,193.57,194.35,191.14,192.26,4661207
2011-12-08,193.57,195.89,190.08,190.48,4361514
2012-04-26,193.57,196.36,193.02,195.99,10233980
2013-06-20,275.14,278.6,272.39,273.44,2985196
2015-09-01,499.14,510.0,493.43,496.54,3824035
2014-12-11,307.89,312.64,306.01,307.36,3272919
2012-01-06,178.07,184.65,177.5,182.61,7010139
2013-02-26,260.89,262.04,255.73,259.36,3348760
2013-11-14,357.39,368.94,356.43,367.4,4164128
2010-08-24,125.41,125.44,123.18,124.53,5369619
2011-08-29,202.82,206.67,202.55,206.53,4515202
2012-12-12,251.07,254.36,250.06,251.76,2628123
2016-10-31,781.03,793.7,780.11,789.82,5413326
2010-10-25,171.57,171.99,168.32,169.0,6534224
2011-09-16,227.57,240.44,226.74,239.3,11760132
2010-02-19,117.91,119.09,117.0,117.52,7117494
2012-05-02,227.82,231.44,227.4,230.25,4593971
2017-01-20,815.28,816.02,806.26,808.33,3376196
2011-03-22,164.07,164.44,162.25,162.6,3612926
2011-08-02,220.32,214.83,205.54,209.64,10273341
2012-11-19,228.32,232.5,227.45,229.71,3593171
2012-10-31,236.32,238.7,230.5,232.89,4797876
2016-02-05,529.28,529.45,499.19,502.13,9639606
2011-05-02,196.57,203.42,196.18,201.19,9399303
2012-04-18,188.82,193.45,188.74,191.07,4003095
2013-10-21,329.89,330.0,323.8,326.44,2527617
2011-12-02,197.07,199.66,195.18,196.03,7526348
2015-11-03,629.53,629.89,622.0,625.31,3242365
2016-09-07,789.53,790.79,784.33,784.48,2424622
2013-05-22,267.39,267.59,260.8,262.96,3332597
2013-09-12,299.39,302.0,297.66,298.86,1606393
2016-03-31,599.28,600.75,592.21,593.64,2673617
2013-09-13,300.14,300.22,296.2,297.92,1350645
2015-12-15,665.03,671.5,657.35,658.64,4753415
2012-12-18,254.57,263.11,254.57,260.4,4961611
2011-03-10,167.07,168.47,164.82,166.14,6000454
2014-08-12,318.89,321.31,316.95,319.32,1916143
2010-10-26,167.57,171.0,167.5,169.95,4693643
2016-12-15,766.28,769.1,760.31,761.0,3801927
2011-05-17,191.82,195.98,191.76,194.81,7077636
2014-11-28,336.03,341.26,336.03,338.64,3051798
2017-01-12,800.31,814.13,799.5,813.64,4873922
2016-05-05,673.31,676.49,656.0,659.09,4875480
2011-12-28,176.39,176.65,172.28,173.89,3660008
2011-02-10,184.39,187.24,183.6,186.21,5332604
2011-07-27,224.39,227.2,219.62,222.52,12956323
2012-11-26,240.39,244.32,238.0,243.62,4178897
2010-03-24,128.64,129.4,127.2,128.04,4703238
2010-09-03,136.89,139.5,136.62,138.79,6590809
2014-03-25,354.03,358.97,348.84,354.71,4455703
2010-01-14,129.14,130.38,126.4,127.35,9788435
2010-03-25,129.14,136.91,128.04,134.73,16212627
2011-08-16,201.14,201.39,194.75,197.68,5209051
2013-11-18,370.28,373.49,364.67,366.18,2738214
2014-01-10,402.53,403.76,393.8,397.66,2681701
2011-03-15,161.39,166.88,160.76,165.08,4938226
2011-03-08,169.39,169.71,166.72,166.89,4223893
2014-02-18,355.28,355.73,349.45,353.65,5000493
2011-08-24,193.89,196.31,190.17,193.73,6252998
2012-09-20,260.03,260.87,258.0,260.81,2914144
2010-05-18,130.14,131.25,125.51,126.28,5258767
2012-08-01,234.14,234.38,230.7,232.09,2543843
2012-08-23,242.14,243.48,239.02,241.2,2454445
2017-02-07,809.31,816.16,807.5,812.5,3466091
2013-11-05,356.78,360.17,354.84,358.89,2007275
2016-11-10,778.81,778.83,717.7,742.38,12746994
2013-02-13,261.53,269.96,260.3,269.47,5295786
2014-05-06,309.53,309.81,297.04,297.38,4682327
2010-03-23,130.89,130.94,128.07,129.26,4213607
2010-10-11,154.89,156.63,152.34,153.03,4486390
2013-04-10,261.78,265.98,259.32,264.77,2322707
2013-02-04,262.78,264.68,259.07,259.98,3723793
2011-03-25,171.64,173.49,170.3,170.98,4294302
2012-01-11,179.64,180.77,178.19,178.9,3102877
2012-02-23,179.64,180.75,176.96,178.89,5157465
2012-03-01,179.89,180.49,176.58,180.04,4938425
2016-03-09,559.56,560.35,550.12,559.47,4373282
2010-05-28,126.07,127.6,124.01,125.46,3955852
2012-05-30,212.14,212.98,207.75,209.23,4085414
2010-09-09,140.39,141.37,139.26,140.38,4966544
2016-05-18,689.56,702.54,688.76,697.45,4272357
2011-10-12,236.64,241.84,234.33,236.81,6511045
2011-04-04,180.89,183.61,180.69,182.94,4189692
2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857
2010-05-24,122.57,124.5,120.65,122.12,4544265
2012-07-03,229.14,229.53,227.59,229.53,1335952
2013-09-25,314.53,316.71,310.75,312.65,2010249
2016-08-03,757.06,758.89,752.25,754.64,3581525
2011-04-14,181.39,182.08,179.36,181.82,3589689
2014-07-14,347.03,355.77,345.36,355.32,5615482
2014-12-04,315.53,318.59,313.47,316.93,3296642
2013-01-28,283.78,284.48,274.4,276.04,4322557
2015-12-16,663.56,677.35,659.32,675.77,3964470
2012-03-28,206.14,207.0,200.31,201.16,6246236
2012-12-07,254.14,255.21,252.01,253.27,2170475
2015-12-28,665.56,675.5,665.5,675.2,3783555
2011-07-12,214.64,215.65,211.12,211.23,3987227
2016-08-23,763.31,764.7,761.0,762.45,1524131
2014-11-26,333.78,334.65,331.75,333.57,1985949
2016-08-02,763.81,765.01,757.02,760.58,3603280
2015-01-16,286.28,290.79,285.25,290.74,3478176
2016-08-05,764.81,768.47,763.09,765.98,2704391
2013-01-16,270.53,271.24,267.83,268.93,2066092
2014-11-24,334.78,337.39,333.6,335.64,2754186
2016-08-08,766.81,767.0,761.02,766.56,1986272
2013-04-25,271.53,275.8,270.5,274.7,6116498
2015-04-13,383.53,385.28,380.14,382.36,1894453
2012-01-03,175.89,179.48,175.55,179.03,5111970
2012-02-29,183.89,184.0,179.01,179.69,5302508
2012-11-23,239.89,240.0,236.48,239.88,1776744
2011-03-24,168.21,172.0,167.36,171.1,6286823
2016-01-19,577.09,584.0,566.45,574.48,4782763
2010-08-09,128.46,129.93,127.85,128.83,5087069
2014-04-16,321.17,324.0,314.71,323.68,4285901
2017-05-19,962.84,968.92,959.72,959.84,3972089
2012-10-08,257.67,259.8,255.56,259.06,1762589
2017-02-02,836.59,842.49,828.26,839.95,7350492
2012-10-09,258.67,259.35,250.73,250.96,3497182
2017-06-01,998.59,998.99,991.37,995.95,2454841
2017-04-12,903.09,904.09,895.25,896.23,2456140
2015-10-14,551.34,552.25,539.68,544.83,3561089
2010-05-27,124.98,126.85,120.6,126.7,4748544
2011-06-20,185.96,188.85,185.57,187.72,2834166
2011-06-22,193.96,195.2,191.32,191.63,3134854
2014-09-24,324.17,329.44,319.56,328.21,2647232
2017-02-16,841.84,845.0,839.38,844.14,2714667
2012-08-14,234.71,236.72,232.62,233.19,2750998
2017-04-19,907.84,910.5,897.37,899.2,2870242
2012-01-04,179.21,180.5,176.06,177.51,4206624
2012-04-17,187.21,190.04,186.87,188.39,2829460
2012-10-03,251.21,256.1,249.56,255.92,2746516
2014-05-02,310.42,313.29,304.31,308.01,3995218
2014-05-29,310.42,314.87,310.2,313.78,2365679
2015-03-25,375.17,380.5,370.28,370.96,3429497
2015-02-18,375.42,376.74,372.85,373.37,2650610
2011-04-28,195.96,196.79,192.27,195.07,7277475
2013-10-28,359.92,362.75,357.2,358.16,3635848
2017-02-21,848.84,857.98,847.25,856.44,3507742
2014-04-24,329.67,337.4,322.95,337.15,9293735
2010-06-18,126.48,127.48,125.07,125.83,3840699
2016-02-11,491.17,509.3,484.0,503.82,7372686
2016-05-04,662.59,674.0,662.14,670.9,4574490
2010-03-19,133.71,133.71,129.66,130.35,8906225
2011-03-03,173.71,174.46,172.05,172.79,4139104
2010-12-31,181.96,182.3,179.51,180.0,3453895
2013-01-09,268.17,269.5,265.4,266.35,2265991
2015-12-10,665.59,668.53,659.56,662.32,3455472
2013-09-27,316.92,317.21,313.35,316.01,1658435
2014-10-02,316.92,318.53,311.31,318.41,3553944
2010-04-08,134.71,141.25,134.71,140.96,12694329
2012-01-20,190.71,192.9,189.04,190.93,5610542
2012-05-23,214.71,217.55,211.18,217.28,4243774
2017-03-21,858.84,862.8,841.31,843.2,4382852
2015-07-31,539.09,542.84,534.52,536.15,3025598
2013-03-14,269.67,270.0,263.53,265.74,5227305
2014-04-14,317.67,320.48,311.28,315.91,4293532
2017-06-14,988.59,990.34,966.71,976.47,3974900
2011-08-18,191.21,191.34,179.72,182.52,8280385
2011-12-09,191.21,193.95,188.4,193.03,5159276
2013-07-08,286.42,291.67,286.14,290.59,3047197
2013-10-09,303.42,303.5,296.5,298.23,3252771
2014-11-21,335.42,338.33,331.47,332.63,4466587
2010-04-07,135.96,136.08,133.86,134.87,5947297
2013-09-18,304.06,312.74,302.91,312.03,2946988
2016-12-22,768.12,771.21,763.02,766.34,2543551
2016-01-28,608.37,638.06,597.55,635.35,12615917
2013-05-07,256.31,259.74,252.91,257.73,3134069
2015-04-10,384.31,387.12,381.32,382.65,2573519
2016-08-16,768.62,768.73,763.82,764.04,1604561
2011-06-02,192.28,194.44,190.56,193.65,3045560
2011-08-12,200.28,204.56,197.21,202.3,5620580
2012-12-27,248.28,249.35,242.86,248.31,3640682
2011-06-30,200.78,205.2,200.5,204.49,4451250
2016-12-08,771.87,773.79,765.19,767.33,3189608
2012-03-29,201.28,205.31,200.63,204.61,5711525
2012-06-18,217.28,223.76,216.73,222.66,3371446
2011-03-30,177.78,181.16,177.66,179.42,6860586
2012-08-03,234.03,236.49,233.03,234.97,2825514
2012-02-06,186.28,186.56,182.92,183.14,5311645
2010-06-11,121.39,123.53,120.29,123.03,4205811
2010-06-16,125.39,127.98,125.36,126.9,3964437
2011-11-29,194.78,195.5,187.3,188.39,6577462
2013-12-18,389.56,396.3,383.1,395.96,3493635
2013-02-28,261.81,267.0,260.63,264.27,2668154
2015-01-28,309.81,311.51,303.8,303.91,3063774
2017-07-13,1004.62,1006.88,995.9,1000.63,2880769
2016-03-08,557.87,571.35,554.74,560.26,4709432
2010-11-24,171.53,177.89,171.53,177.25,10055739
2015-04-21,391.31,394.6,386.8,391.18,4643524
2014-05-07,295.56,296.4,286.68,292.71,7016937
2015-08-13,527.37,534.66,525.48,529.66,2895238
2016-02-26,560.12,562.5,553.17,555.23,4858230
2010-06-25,118.14,121.76,117.63,121.0,5770282
2011-10-06,220.28,223.62,217.55,221.51,6850357
2011-07-18,212.53,213.39,208.29,211.53,2900565
2011-10-05,212.53,220.17,208.48,219.5,6512936
2015-01-12,297.56,298.51,289.28,291.41,3421392
2014-09-12,329.56,332.89,328.79,331.19,3429727
2013-06-05,265.81,271.66,265.02,267.17,3512867
2015-10-21,563.87,565.25,552.52,555.77,3343551
2017-06-30,980.12,983.47,967.61,968.0,3390345
2010-02-04,118.64,120.33,115.74,115.94,12783912
2010-05-20,122.64,125.0,118.78,119.71,8594302
2013-04-18,266.81,266.99,256.6,259.42,3138006
2011-03-01,173.53,173.96,168.67,169.44,5847443
2015-09-18,534.62,546.24,531.35,540.26,6125617
2011-08-30,205.78,212.49,204.32,210.92,5919660
2016-08-01,759.87,770.5,757.06,767.74,3578205
2011-12-12,190.03,191.15,187.63,189.52,4344146
2012-05-21,214.03,219.98,212.82,218.11,3580096
2010-12-14,174.28,175.76,173.09,173.94,3689528
2011-08-17,198.53,199.6,193.74,195.93,3991541
